datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Wind,1378,0.010,True
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Coal,47419,0.440,False
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Gas,22175,0.200,False
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Hydro,669,0.010,True
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Multiple Fuels,140,0.000,False
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Nuclear,35532,0.330,False
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Oil,614,0.010,False
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Other,36,0.000,False
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Other Renewables,720,0.000,True
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Solar,0,0.000,True
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Storage,0,0.000,False
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,Wind,1627,0.010,True
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Coal,46916,0.440,False
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Gas,21010,0.200,False
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Hydro,370,0.000,True
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Multiple Fuels,141,0.000,False
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Nuclear,35532,0.330,False
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Oil,477,0.000,False
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Other,37,0.000,False
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Other Renewables,718,0.000,True
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Solar,0,0.000,True
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Storage,0,0.000,False
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,Wind,1987,0.020,True
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Coal,46356,0.440,False
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Gas,19834,0.190,False
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Hydro,370,0.000,True
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Multiple Fuels,140,0.000,False
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Nuclear,35512,0.340,False
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Oil,324,0.000,False
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Other,36,0.000,False
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Other Renewables,722,0.000,True
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Solar,0,0.000,True
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Storage,0,0.000,False
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,Wind,2234,0.020,True
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Coal,46097,0.440,False
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Gas,20402,0.190,False
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Hydro,371,0.000,True
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Multiple Fuels,140,0.000,False
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Nuclear,35514,0.340,False
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Oil,322,0.000,False
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Other,35,0.000,False
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Other Renewables,722,0.000,True
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Solar,0,0.000,True
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Storage,0,0.000,False
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,Wind,2060,0.020,True
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Coal,45716,0.430,False
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Gas,20201,0.190,False
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Hydro,373,0.000,True
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Multiple Fuels,139,0.000,False
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Nuclear,35519,0.340,False
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Oil,314,0.000,False
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Other,37,0.000,False
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Other Renewables,724,0.000,True
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Solar,0,0.000,True
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Storage,0,0.000,False
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,Wind,2112,0.020,True
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Coal,45489,0.430,False
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Gas,20307,0.190,False
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Hydro,424,0.000,True
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Multiple Fuels,141,0.000,False
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Nuclear,35512,0.340,False
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Oil,632,0.010,False
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Other,34,0.000,False
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Other Renewables,719,0.000,True
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Solar,0,0.000,True
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Storage,0,0.000,False
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,Wind,2275,0.020,True
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Coal,46567,0.440,False
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Gas,20478,0.190,False
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Hydro,464,0.000,True
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Multiple Fuels,288,0.000,False
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Nuclear,35499,0.330,False
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Oil,636,0.010,False
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Other,36,0.000,False
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Other Renewables,705,0.000,True
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Solar,0,0.000,True
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Storage,0,0.000,False
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,Wind,2366,0.020,True
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Coal,48076,0.440,False
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Gas,21792,0.200,False
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Hydro,467,0.000,True
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Multiple Fuels,10,0.000,False
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Nuclear,35487,0.320,False
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Oil,645,0.010,False
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Other,35,0.000,False
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Other Renewables,712,0.000,True
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Solar,0,0.000,True
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Storage,0,0.000,False
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,Wind,2394,0.020,True
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Coal,48178,0.430,False
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Gas,22421,0.200,False
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Hydro,346,0.000,True
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Multiple Fuels,10,0.000,False
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Nuclear,35495,0.320,False
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Oil,1077,0.010,False
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Other,37,0.000,False
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Other Renewables,703,0.000,True
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Solar,0,0.000,True
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Storage,0,0.000,False
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,Wind,3109,0.030,True
12/31/2017 2:00:00 AM,12/30/2017 9:00:00 PM,Coal,47927,0.420,False
12/31/2017 2:00:00 AM,12/30/2017 9:00:00 PM,Gas,23742,0.210,False
12/31/2017 2:00:00 AM,12/30/2017 9:00:00 PM,Hydro,849,0.010,True
12/31/2017 2:00:00 AM,12/30/2017 9:00:00 PM,Multiple Fuels,10,0.000,False
12/31/2017 2:00:00 AM,12/30/2017 9:00:00 PM,Nuclear,35511,0.310,False
